,subj,idx,session,pres,corr,corrw2v
311,soe137,234,67,2,0.19127119629277856,0.12362019029802623
312,soe138,234,67,2,0.1702167086099343,0.08855330282294682
313,soe139,234,67,2,0.03708675049333105,0.026620250927426908
314,soe140,234,67,2,0.06833368692711059,0.03949950554512507
315,soe141,234,67,2,0.09012907151462167,0.06052927296168682
316,soe142,234,67,2,0.1187784393629352,0.059613766289490035
317,soe143,234,67,2,0.08621306843587549,0.06339119947709423
318,soe144,234,67,2,0.2102582598868095,0.12704199651398665
319,soe145,234,67,2,0.07246230754889026,0.046747602008565835
320,soe101,246,73,2,0.07531462296736283,0.038975056022942066
321,soe103,246,73,2,0.09032608310142114,0.048507396281560894
322,soe104,246,73,2,0.08135862426253515,0.046489909899553705
323,soe105,246,73,2,0.054344209393952556,0.04029575396661267
324,soe106,246,73,2,0.11737686846862043,0.06306420465721163
325,soe108,246,73,2,0.0364992346614785,0.024761416182595676
326,soe109,246,73,2,0.047908253227712465,0.036107982334274084
327,soe110,246,73,2,0.05740886388019552,0.03381254916802308
328,soe111,246,73,2,0.06518956305416199,0.03143614569420544
329,soe112,246,73,2,0.04805952472124223,0.0292337402931994
330,soe113,246,73,2,0.04385759761274939,0.025589688800688033
331,soe114,246,73,2,0.040650222656106946,0.030770920261978876
332,soe115,246,73,2,0.04728432519965225,0.030180878855954284
333,soe116,246,73,2,0.03790756053105478,0.02944177329006971
334,soe117,246,73,2,0.04417890046341127,0.024750842065898365
335,soe118,246,73,2,0.03296061682413764,0.027608822904714798
336,soe120,246,73,2,0.03823895957170018,0.021769330664546102
337,soe121,246,73,2,0.0557471517451664,0.0365663038342882
338,soe122,246,73,2,0.02362896003394289,0.019128837949835716
339,soe123,246,73,2,0.05951702187561261,0.036191959010072765
340,soe124,246,73,2,0.0678907748251279,0.04352032466163925
341,soe125,246,73,2,0.09500930081592429,0.05730035898199072
342,soe126,246,73,2,0.056739313744507906,0.031455306836641814
343,soe128,246,73,2,0.02640601338640144,0.013820909475275861
344,soe129,246,73,2,0.029043997915940152,0.028781266689867906
345,soe130,246,73,2,0.18045600661352462,0.10956781677363209
346,soe131,246,73,2,0.017600592924434597,0.00943692336999054
347,soe133,246,73,2,0.03871172550914789,0.02216921022450454
348,soe134,246,73,2,0.05574137891364187,0.0335758159807705
349,soe135,246,73,2,0.04805318694932148,0.028370274352927036
350,soe136,246,73,2,0.11279479618134769,0.06586443932988072
351,soe137,246,73,2,0.1673856618639564,0.1042992196434268
352,soe138,246,73,2,0.15305665992764034,0.09066711729561279
353,soe139,246,73,2,0.030413828430926087,0.01715905298601182
354,soe140,246,73,2,0.040274785293475356,0.023216859048794992
355,soe141,246,73,2,0.08178662625105322,0.04913473017586581
356,soe142,246,73,2,0.08835090036002889,0.046334781214107036
357,soe143,246,73,2,0.07487545700676805,0.05121276934748784
358,soe144,246,73,2,0.15774493926134173,0.10239427332772322
359,soe145,246,73,2,0.04801397640831769,0.03136126515120771
360,soe101,345,123,1,0.05607829226166835,0.03651648548104994
361,soe103,345,123,1,0.14423896670748712,0.07225611057116961
362,soe104,345,123,1,0.06774101895903643,0.03788219505014397
363,soe105,345,123,1,0.062938503505744,0.041106712075951145
364,soe106,345,123,1,0.1391645585728771,0.08130621505627145
365,soe108,345,123,1,0.056571454007238196,0.041287240570772
366,soe109,345,123,1,0.07436424024988454,0.04463573579986238
367,soe110,345,123,1,0.0894395292956129,0.046791307419933655
368,soe111,345,123,1,0.10969430440384255,0.0547016787165352
369,soe112,345,123,1,0.09324615137278425,0.048296184632280616
370,soe113,345,123,1,0.06751906465093424,0.047472444514646925
371,soe114,345,123,1,0.07537613806484479,0.04826296719168551
372,soe115,345,123,1,0.0977749532527537,0.05978740098756252
373,soe116,345,123,1,0.08014262411883062,0.05606033268792141
374,soe117,345,123,1,0.09847692332918262,0.053713431808367365
375,soe118,345,123,1,0.08082681927766983,0.05632010041525432
376,soe120,345,123,1,0.0590247540395506,0.029279973227065412
377,soe121,345,123,1,0.10818376535255926,0.06909420654105274
378,soe122,345,123,1,0.057539286661902306,0.04773653351321728
379,soe123,345,123,1,0.07036724881854103,0.03625035148874478
380,soe124,345,123,1,0.0854546087203451,0.05817900366295484
381,soe125,345,123,1,0.11289213717083157,0.0691705300710888
382,soe126,345,123,1,0.06602560566496966,0.03451484276920681
383,soe128,345,123,1,0.030257369050003646,0.018040107174139446
384,soe129,345,123,1,0.06660717902220817,0.04882851717518496
385,soe130,345,123,1,0.21264091226873175,0.12514843112885843
386,soe131,345,123,1,0.05086517254184882,0.032352242466360294
387,soe133,345,123,1,0.06691843581672609,0.04514138048142241
388,soe134,345,123,1,0.07241992398665167,0.05407905514075209
389,soe135,345,123,1,0.08296241700755161,0.04447171651585374
390,soe136,345,123,1,0.17782116309384674,0.09227519309595655
391,soe137,345,123,1,0.17306248672931532,0.11951521834943127
392,soe138,345,123,1,0.1947114478418535,0.10968602907716479
393,soe139,345,123,1,0.04067023061249209,0.029692152966718465
394,soe140,345,123,1,0.055975533196303086,0.035854990250000954
395,soe141,345,123,1,0.11690451763411538,0.06586957705401217
396,soe142,345,123,1,0.09883446623446991,0.05224327477611282
397,soe143,345,123,1,0.10610204131994799,0.08071538383566786
398,soe144,345,123,1,0.21112962811906638,0.1234010902663372
399,soe145,345,123,1,0.07009191263041509,0.0490545383870449
400,soe101,15,-42,1,0.088403058680223,0.0557148805098676
401,soe103,15,-42,1,0.1526986488041481,0.08439186277748502
402,soe104,15,-42,1,0.0897491067724307,0.05322023412408609
403,soe105,15,-42,1,0.13486561718296816,0.07651244427924103
404,soe106,15,-42,1,0.09692110737687877,0.05799624397775747
405,soe108,15,-42,1,0.059124980110985735,0.042370462420990705
406,soe109,15,-42,1,0.06310409912828989,0.03704864800605475
407,soe110,15,-42,1,0.10275714680208113,0.06462204537190307
408,soe111,15,-42,1,0.16829091570897844,0.09258320913088175
409,soe112,15,-42,1,0.05596845420974673,0.032174855112714576
